tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,belum/tidakbekerja,mengurus_rumah_tangga,pelajar/mahasiswa,pensiunan,pegawai_negeri_sipil,tentara_nasional_indonesia,kepolisian_ri,perdagangan,petani_pekebun,peternak,nelayan/perikanan,industri,konstruksi,transportasi,karyawan_swasta,karyawan_bumn,karyawan_bumd,karyawan_honorer,buruh_harian_lepas,buruh_tani_perkebunan,buruh_nelayan_perikanan,buruh_peternakan,pembantu_rumah_tangga,tukang_cukur,tukang_listrik,tukang_batu,tukang_kayu,tukang_sol_sepatu,tukang_las_pandai_besi,tukang_jahit,tukang_gigi,penata_rias,penata_busana,penata_rambut,mekanik,seniman,tabib,paraji,perancang_busana,penterjemah,imam_mesjid,pendeta,pastor,wartawan,ustadz_mubaligh,juru_masak,promotor_acara,anggota_dpr_ri,anggota_dpd,anggota_bpk,presiden,wakil_presiden,anggota_mahkamah_konstitusi,anggota_kabinet_kementerian,duta_besar,gubernur,wakil_gubernur,bupati,wakil_bupati,walikota,wakil_walikota,anggota_dprd_provinsi,anggota_dprd_kabupaten_kota,dosen,guru,pilot,pengacara,notaris,arsitek,akuntan,konsultan,dokter,bidan,perawat,apoteker,psikiater_psikolog,penyiar_televisi,penyiar_radio,pelaut,peneliti,sopir,pialang,paranormal,pedagang,perangkat_desa,kepala_desa,biarawati,wiraswasta,lainnya,hakim
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,3514.0,4045.0,4895.0,204.0,252.0,14.0,22.0,,,,,6.0,2.0,,5932.0,64.0,4.0,3.0,207.0,,,,1.0,,,,,,,14.0,,,,,6.0,4.0,,,,,,,,25.0,,,,,,,,,3.0,,,,,,,,,,,22.0,228.0,,9.0,2.0,,,4.0,16.0,3.0,5.0,1.0,,,,3.0,1.0,49.0,,,250.0,,,,1467.0,87.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,3741.0,4711.0,5690.0,147.0,118.0,10.0,17.0,4.0,,,,3.0,1.0,,6192.0,42.0,3.0,5.0,561.0,1.0,,,24.0,,,1.0,,,,,,,,,,16.0,,,1.0,,,3.0,,8.0,,,,4.0,,,,,,1.0,,,,,,,,1.0,,22.0,184.0,2.0,17.0,3.0,9.0,,10.0,57.0,4.0,5.0,2.0,1.0,,,1.0,,66.0,,,209.0,,,,2273.0,72.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,7681.0,9379.0,11475.0,614.0,516.0,38.0,168.0,1.0,1.0,,,16.0,7.0,,14753.0,155.0,4.0,18.0,1245.0,4.0,,,38.0,,1.0,,,,,15.0,,,,,1.0,43.0,,,,2.0,,8.0,,23.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,71.0,488.0,2.0,20.0,7.0,11.0,1.0,13.0,89.0,16.0,22.0,1.0,2.0,,,1.0,1.0,279.0,,,524.0,,,1.0,2794.0,149.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,6293.0,6627.0,8160.0,245.0,330.0,24.0,56.0,8.0,,,1.0,2.0,7.0,2.0,9704.0,73.0,4.0,11.0,112.0,,,,4.0,,,,,,,3.0,,,,,,17.0,,,,,,5.0,,23.0,,,,3.0,1.0,,,,,,,,,,,,,1.0,,42.0,500.0,3.0,11.0,1.0,1.0,,3.0,50.0,6.0,11.0,4.0,,,,3.0,,38.0,,,373.0,,,,3634.0,159.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,2487.0,2692.0,3255.0,64.0,127.0,9.0,14.0,2.0,1.0,,,1.0,2.0,3.0,4758.0,13.0,2.0,2.0,120.0,,,,5.0,,,,,,,9.0,,,,,,2.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,9.0,99.0,,2.0,,,,,3.0,1.0,4.0,,1.0,,,,,60.0,,,322.0,,,,590.0,44.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,4201.0,4748.0,7144.0,817.0,995.0,34.0,124.0,,1.0,,1.0,3.0,2.0,,6772.0,251.0,4.0,44.0,288.0,,,,9.0,,,,,,,1.0,,,,,2.0,13.0,,,,,,9.0,,19.0,,,,2.0,,,,,,,,,,,,,,1.0,,71.0,199.0,5.0,9.0,4.0,3.0,,5.0,84.0,9.0,10.0,1.0,2.0,,1.0,5.0,2.0,67.0,,,543.0,,,1.0,1657.0,43.0,1.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,6817.0,7426.0,9442.0,681.0,974.0,42.0,50.0,14.0,1.0,,,4.0,1.0,1.0,11652.0,170.0,6.0,11.0,495.0,,,,4.0,,,,,,,2.0,,,,,6.0,26.0,,,,,,8.0,,39.0,2.0,,1.0,3.0,1.0,,,,1.0,,,,,,,,,1.0,,75.0,373.0,6.0,20.0,5.0,10.0,2.0,16.0,117.0,6.0,23.0,3.0,1.0,,,6.0,1.0,51.0,,,179.0,,,6.0,2412.0,181.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,4797.0,4928.0,6136.0,302.0,458.0,1497.0,33.0,,4.0,,,1.0,2.0,2.0,6769.0,53.0,3.0,17.0,332.0,1.0,,,4.0,,,,,,,,,,1.0,,2.0,11.0,,,,,,2.0,,23.0,,,,,2.0,,,,,,1.0,,,,,,,,,36.0,279.0,,9.0,3.0,1.0,,7.0,58.0,23.0,47.0,1.0,1.0,,,2.0,1.0,50.0,,,95.0,,,,1539.0,34.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,7337.0,8173.0,9774.0,739.0,995.0,186.0,153.0,7.0,,,,3.0,4.0,4.0,12438.0,157.0,4.0,21.0,249.0,,,,10.0,,,,,,,,,,,,2.0,21.0,,,,,,4.0,1.0,27.0,1.0,,,,,,,,,,,,,,,,,,,52.0,306.0,2.0,20.0,8.0,6.0,,16.0,92.0,6.0,13.0,3.0,3.0,,,1.0,2.0,56.0,,,116.0,,,,2990.0,127.0,
2014.0,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,11218.0,12008.0,15212.0,748.0,1283.0,65.0,72.0,3.0,3.0,,,7.0,3.0,2.0,15002.0,288.0,7.0,48.0,1157.0,3.0,,,5.0,1.0,,,,1.0,,22.0,,,,,9.0,25.0,,,,,,5.0,,58.0,2.0,1.0,,3.0,,,,,,,,,,,,,,2.0,,76.0,490.0,4.0,15.0,10.0,3.0,1.0,8.0,107.0,18.0,35.0,7.0,1.0,,,9.0,5.0,220.0,,,1.292,1.0,,,5457.0,203.0,
